Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,MIL,E,C,39,6,.867,12.62,114.14,102.08,12.06,11.53,113.99,103.00,10.98
2,LAL,W,P,35,9,.795,7.64,113.64,106.17,7.47,7.87,113.28,105.55,7.72
3,DAL,W,SW,27,16,.628,7.07,118.03,110.87,7.16,7.12,118.17,111.00,7.17
4,BOS,E,A,29,14,.674,7.07,113.67,106.52,7.15,6.27,113.25,106.93,6.32
5,LAC,W,P,31,14,.689,6.20,112.93,106.92,6.01,6.43,112.53,106.27,6.26
6,TOR,E,A,30,14,.682,6.00,111.19,105.24,5.94,6.06,111.26,105.24,6.01
7,UTA,W,NW,31,13,.705,5.32,113.00,107.35,5.65,4.58,113.17,108.28,4.89
8,HOU,W,SW,27,16,.628,4.42,114.64,110.25,4.39,4.17,114.50,110.35,4.15
9,PHI,E,A,29,17,.630,3.30,109.86,106.56,3.30,3.36,109.83,106.45,3.38
10,MIA,E,SE,31,13,.705,3.70,112.72,109.22,3.49,2.98,112.37,109.57,2.80
11,DEN,W,NW,30,14,.682,3.30,112.38,108.92,3.46,2.59,111.85,109.08,2.77
12,IND,E,C,29,16,.644,3.00,111.22,108.05,3.17,2.45,111.32,108.68,2.63
13,OKC,W,NW,26,19,.578,1.80,111.19,109.37,1.81,2.33,111.36,109.03,2.33
14,ORL,E,SE,21,24,.467,-0.29,106.57,106.95,-0.39,-0.14,106.45,106.69,-0.24
15,SAS,W,SW,20,23,.465,-0.84,112.28,113.17,-0.88,-0.54,112.23,112.84,-0.61
16,NOP,W,SW,17,28,.378,-3.20,110.40,113.43,-3.03,-1.75,111.07,112.67,-1.60
17,PHX,W,P,18,26,.409,-1.07,110.52,111.79,-1.26,-1.70,110.11,111.97,-1.86
18,DET,E,C,17,28,.378,-1.36,110.74,112.01,-1.27,-2.10,110.43,112.42,-1.99
19,POR,W,NW,19,26,.422,-2.20,111.02,113.25,-2.23,-1.95,111.27,113.27,-2.00
20,CHI,E,C,17,29,.370,-1.96,106.37,108.36,-1.99,-2.30,106.15,108.50,-2.35
21,BKN,E,A,18,24,.429,-2.33,106.38,108.71,-2.33,-2.64,106.32,108.92,-2.60
22,MEM,W,SW,20,24,.455,-2.89,110.02,112.85,-2.82,-2.83,109.96,112.75,-2.79
23,SAC,W,P,15,29,.341,-3.70,108.78,112.43,-3.65,-3.49,108.61,112.04,-3.43
24,MIN,W,NW,15,29,.341,-3.50,107.54,110.95,-3.41,-3.54,107.18,110.63,-3.45
25,WAS,E,SE,14,29,.326,-5.42,111.50,116.70,-5.19,-5.19,111.91,116.88,-4.98
26,NYK,E,A,12,33,.267,-7.96,105.28,113.22,-7.94,-7.20,105.65,112.87,-7.22
27,CHA,E,SE,15,30,.333,-7.18,106.97,114.31,-7.34,-7.42,107.09,114.64,-7.56
28,ATL,E,SE,11,34,.244,-9.29,104.50,113.25,-8.75,-8.21,105.43,113.15,-7.72
29,GSW,W,P,10,36,.217,-8.48,104.76,113.35,-8.59,-8.04,104.58,112.71,-8.13
30,CLE,E,C,12,32,.273,-9.11,106.41,115.71,-9.30,-8.09,107.29,115.59,-8.30
